Skills,Career Goals,Learning Preferences,Current Role,Recommended Career Path,Suggested Courses/Projects
"AI, Deep Learning",Lead Supply Chain Team,Project-based,Software Developer,Supply Chain Manager > Senior Supply Chain Manager > Head of Supply Chain at PSA,"Advanced Supply Chain Techniques, PSA Supply Chain Innovation Program"
"Business Strategy, Analytics",Become a Systems Architect,Self-paced,Supply Chain Coordinator,Systems Architect > Senior Systems Architect > Head of Systems at PSA,"System Architecture Design, PSA Systems Development Project"
"Logistics, Operations",Become a Senior Software Engineer,Self-paced,Assistant Manager,Software Engineer > Senior Software Engineer > Engineering Lead at PSA,"Software Engineering Best Practices, PSA Software Development Project"
"Network Security, Python",Lead Supply Chain Team,Project-based,Junior Network Engineer,Supply Chain Manager > Senior Supply Chain Manager > Head of Supply Chain at PSA,"Advanced Supply Chain Techniques, PSA Supply Chain Innovation Program"
Supply Chain Management,Advance in Supply Chain Operations,Instructor-led,Junior AI Engineer,Supply Chain Manager > Senior Supply Chain Manager > Head of Operations at PSA,"Supply Chain Management Advanced, PSA Operations Case Study"
"AI, Deep Learning",Move into Business Strategy,Self-paced,Systems Engineer,Business Strategist > Senior Business Strategist > Director of Business Strategy at PSA,"Business Strategy Essentials, PSA Business Development Project"
"Machine Learning, AI",Become a Data Analyst,Self-paced,Junior Network Engineer,Data Analyst > Senior Data Analyst > Data Science Lead at PSA,"Data Analysis with R, PSA Data Analysis Project"
"Java, Spring Framework",Become a Network Security Engineer,Self-paced,Junior Data Scientist,Network Security Engineer > Senior Network Security Engineer > Security Operations Lead at PSA,"Network Security Essentials, PSA Network Infrastructure Project"
"Docker, Cloud Computing",Lead Financial Analysis Team,Project-based,Logistics Coordinator,Financial Analyst > Senior Financial Analyst > Director of Finance at PSA,"Advanced Financial Analysis, PSA Finance Leadership Program"
Project Management,Move into Business Strategy,Project-based,Software Developer,Business Strategist > Senior Business Strategist > Director of Business Strategy at PSA,"Business Strategy Essentials, PSA Business Development Project"
